FECHA ,AUTO                                    ,MORTGAGE                                ,REVOLVING                               ,INSTALLMENTS                            ,TOTAL
201703,13                                      ,11                                      ,9                                       ,17                                      ,50
201704,15                                      ,11                                      ,13                                      ,15                                      ,54
201706,13                                      ,16                                      ,9                                       ,14                                      ,52
201710,1                                       ,0                                       ,2                                       ,0                                       ,3
201709,12                                      ,8                                       ,17                                      ,10                                      ,47
201701,15                                      ,11                                      ,9                                       ,24                                      ,59
201612,13                                      ,14                                      ,13                                      ,15                                      ,55
201708,9                                       ,11                                      ,10                                      ,9                                       ,39
201707,13                                      ,7                                       ,24                                      ,9                                       ,53
201611,9                                       ,12                                      ,10                                      ,13                                      ,44
201610,16                                      ,15                                      ,15                                      ,20                                      ,66
201702,8                                       ,7                                       ,7                                       ,8                                       ,30
201705,9                                       ,11                                      ,12                                      ,16                                      ,48
